"Decision_ID","Control_ID","Control_Name","Control_Type","Control_Owner","Applicability_Decision","Applicability_Scope","Applicability_Rationale","Conditional_or_Exclusion_Criteria","Related_Risk_IDs","Source_Implementation_Status","Evidence_IDs","Evidence_Basis","Production_Effectiveness_Claim","Risk_Reduction_Credit","Assurance_Classification","Required_Action","Approval_Status","Decision_Owner","Review_Date","Next_Review_Date","Review_Triggers"
"APP-011","DT-01","Job-Relevance Criteria & Proxy Feature Governance","Preventive","Beatrice Van Duck - Chief People Officer","Applicable","AI-005 — DuckTalent AI","Included because Job-Relevance Criteria & Proxy Feature Governance directly treats AI-005-R01 within AI-005 — DuckTalent AI.","Outside AI-005 — DuckTalent AI, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-005-R01","Not implemented","EV-AI005-001; EV-AI005-002; EV-AI005-009; EV-AI005-011; EV-AI005-012; EV-AI005-015; EV-AI005-016; EV-AI005-017; EV-AI005-018; EV-AI005-019; EV-AI005-021","A preventive change gate and cause-linked corrective action are demonstrated synthetically; full job-relevance governance and production operation remain unimplemented; applicability evidence reconciled in EV-AIMS-017 through EV-AIMS-020","No","No current risk-reduction credit","Bounded synthetic evidence linked; production effectiveness unverified","Approve job-relevance criteria and feature governance for the real system/version, then operate and independently test the control over a defined period.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-012","DT-02","Pre-Deployment Fairness & Adverse-Impact Testing","Detective","Beatrice Van Duck - Chief People Officer","Applicable","AI-005 — DuckTalent AI","Included because Pre-Deployment Fairness & Adverse-Impact Testing directly treats AI-005-R01 within AI-005 — DuckTalent AI.","Outside AI-005 — DuckTalent AI, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-005-R01","Partially implemented","EV-AI005-001; EV-AI005-002; EV-AI005-003; EV-AI005-004; EV-AI005-005; EV-AI005-006; EV-AI005-009; EV-AI005-011; EV-AI005-012; EV-AI005-015; EV-AI005-016; EV-AI005-017; EV-AI005-018; EV-AI005-019; EV-AI005-021","Synthetic implementation, operation, recurrence-prevention test and bounded corrective-action effectiveness demonstrated; production effectiveness unverified; applicability evidence reconciled in EV-AIMS-017 through EV-AIMS-020","No","No production risk-reduction credit","Bounded synthetic evidence linked; production effectiveness unverified","Add version-bound production operating and outcome evidence, lawful evaluation data, defined period/population, exceptions, independent review and approval.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-013","DT-03","Meaningful Human Review & No Automated Rejection","Preventive","Beatrice Van Duck - Chief People Officer","Applicable","AI-005 — DuckTalent AI","Included because Meaningful Human Review & No Automated Rejection directly treats AI-005-R02 within AI-005 — DuckTalent AI.","Outside AI-005 — DuckTalent AI, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-005-R02","Not implemented","None linked","Not implemented","No","No current risk-reduction credit","Design only or not implemented — evidence absent","Implement the control, assign stable evidence IDs, operate it over a defined period and test it.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-014","DT-04","Reviewer Rationale, Training & Override Monitoring","Preventive","Beatrice Van Duck - Chief People Officer","Applicable","AI-005 — DuckTalent AI","Included because Reviewer Rationale, Training & Override Monitoring directly treats AI-005-R02 within AI-005 — DuckTalent AI.","Outside AI-005 — DuckTalent AI, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-005-R02","Not implemented","None linked","Not implemented","No","No current risk-reduction credit","Design only or not implemented — evidence absent","Implement the control, assign stable evidence IDs, operate it over a defined period and test it.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-015","DT-05","Applicant Data Minimization, Field Exclusion & Retention","Preventive","Beatrice Van Duck - Chief People Officer","Applicable","AI-005 — DuckTalent AI","Included because Applicant Data Minimization, Field Exclusion & Retention directly treats AI-005-R03 within AI-005 — DuckTalent AI.","Outside AI-005 — DuckTalent AI, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-005-R03","Not implemented","None linked","Not implemented","No","No current risk-reduction credit","Design only or not implemented — evidence absent","Implement the control, assign stable evidence IDs, operate it over a defined period and test it.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-016","DT-06","Impact, Privacy & Legal Review Gate","Preventive","Eleanor Duckford - AI Governance Lead","Applicable","AI-005 — DuckTalent AI","Included because Impact, Privacy & Legal Review Gate directly treats AI-005-R03 within AI-005 — DuckTalent AI.","Outside AI-005 — DuckTalent AI, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-005-R03","Not implemented","None linked","Not implemented","No","No current risk-reduction credit","Design only or not implemented — evidence absent","Implement the control, assign stable evidence IDs, operate it over a defined period and test it.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-017","DT-07","Candidate Notice, Challenge & Human Remedy","Corrective","Beatrice Van Duck - Chief People Officer","Applicable","AI-005 — DuckTalent AI","Included because Candidate Notice, Challenge & Human Remedy directly treats AI-005-R01; AI-005-R02 within AI-005 — DuckTalent AI.","Outside AI-005 — DuckTalent AI, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-005-R01; AI-005-R02","Not implemented","None linked","Not implemented","No","No current risk-reduction credit","Design only or not implemented — evidence absent","Implement the control, assign stable evidence IDs, operate it over a defined period and test it.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-018","FF-01","Human Planning Approval & Override","Preventive","Tobias Duckman - Director Supply Chain","Applicable","AI-003 — FeatherForecast","Included because Human Planning Approval & Override directly treats AI-003-R01 within AI-003 — FeatherForecast.","Outside AI-003 — FeatherForecast, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-003-R01","Implemented","None linked","Unsupported implementation assertion — evidence ID absent","No","No additional credit until evidence is retrieved and reviewed","Unsupported implementation assertion — evidence absent","Provide execution records, population/period, exceptions, outcome metrics and owner review.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-019","FF-02","Back-Testing, Stress Testing & Challenger Review","Detective","Dr. Ada Duckfield - Head of Data & AI","Applicable","AI-003 — FeatherForecast","Included because Back-Testing, Stress Testing & Challenger Review directly treats AI-003-R01; AI-003-R02 within AI-003 — FeatherForecast.","Outside AI-003 — FeatherForecast, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-003-R01; AI-003-R02","Partially implemented","None linked","Design/status assertion — evidence ID absent","No","No additional credit","Design/status assertion — evidence absent","Provide implementation and operating evidence with a stable evidence ID.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-020","FF-03","Automated Drift Alerts & Retraining Trigger","Detective","Dr. Ada Duckfield - Head of Data & AI","Applicable","AI-003 — FeatherForecast","Included because Automated Drift Alerts & Retraining Trigger directly treats AI-003-R02 within AI-003 — FeatherForecast.","Outside AI-003 — FeatherForecast, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-003-R02","Planned","None linked","Planned","No","No current risk-reduction credit","Design only or not implemented — evidence absent","Implement the control, assign stable evidence IDs, operate it over a defined period and test it.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-021","FF-04","Supplier/Planning Data Access & Logging","Preventive","Tobias Duckman - Director Supply Chain","Applicable","AI-003 — FeatherForecast","Included because Supplier/Planning Data Access & Logging directly treats AI-003-R03 within AI-003 — FeatherForecast.","Outside AI-003 — FeatherForecast, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-003-R03","Partially implemented","None linked","Design/status assertion — evidence ID absent","No","No additional credit","Design/status assertion — evidence absent","Provide implementation and operating evidence with a stable evidence ID.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-022","PG-01","Permission-Aware Retrieval","Preventive","Oliver Duckett - Head of IT & Cloud","Applicable","AI-006 — PondGPT","Included because Permission-Aware Retrieval directly treats AI-006-R01 within AI-006 — PondGPT.","Outside AI-006 — PondGPT, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-006-R01","Partially implemented","EV-AI006-001; EV-AI006-002","Synthetic implementation/operation demonstrated; production effectiveness unverified; applicability evidence reconciled in EV-AIMS-017 through EV-AIMS-020","No","No production risk-reduction credit","Bounded synthetic evidence linked; production effectiveness unverified","Add version-bound production operating and outcome evidence, including population, period, exceptions, review and approval.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-023","PG-02","Automated Permission Regression & DLP Tests","Detective","Oliver Duckett - Head of IT & Cloud","Applicable","AI-006 — PondGPT","Included because Automated Permission Regression & DLP Tests directly treats AI-006-R01 within AI-006 — PondGPT.","Outside AI-006 — PondGPT, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-006-R01","Partially implemented","EV-AI006-001; EV-AI006-002; EV-AI006-003; EV-AI006-004; EV-AI006-005; EV-AI006-006","Synthetic implementation/operation demonstrated; production effectiveness unverified; applicability evidence reconciled in EV-AIMS-017 through EV-AIMS-020","No","No production risk-reduction credit","Bounded synthetic evidence linked; production effectiveness unverified","Add version-bound production operating and outcome evidence, including population, period, exceptions, review and approval.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-024","PG-03","Prompt Injection & RAG Poisoning Test Suite","Detective","Cassandra Duckley - Chief Information Security Officer","Applicable","AI-006 — PondGPT","Included because Prompt Injection & RAG Poisoning Test Suite directly treats AI-006-R02 within AI-006 — PondGPT.","Outside AI-006 — PondGPT, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-006-R02","Planned","None linked","Planned","No","No current risk-reduction credit","Design only or not implemented — evidence absent","Implement the control, assign stable evidence IDs, operate it over a defined period and test it.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-025","PG-04","Tool Sandboxing & Allowlisted Actions","Preventive","Oliver Duckett - Head of IT & Cloud","Applicable","AI-006 — PondGPT","Included because Tool Sandboxing & Allowlisted Actions directly treats AI-006-R02 within AI-006 — PondGPT.","Outside AI-006 — PondGPT, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-006-R02","Partially implemented","None linked","Design/status assertion — evidence ID absent","No","No additional credit","Design/status assertion — evidence absent","Provide implementation and operating evidence with a stable evidence ID.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-026","PG-05","GenAI Security Logging & Alerting","Detective","Cassandra Duckley - Chief Information Security Officer","Applicable","AI-006 — PondGPT","Included because GenAI Security Logging & Alerting directly treats AI-006-R01; AI-006-R02; AI-006-R03 within AI-006 — PondGPT.","Outside AI-006 — PondGPT, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-006-R01; AI-006-R02; AI-006-R03","Partially implemented","None linked","Design/status assertion — evidence ID absent","No","No additional credit","Design/status assertion — evidence absent","Provide implementation and operating evidence with a stable evidence ID.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-027","PG-06","Secure Output Verification & Code Scanning","Preventive","Dr. Ada Duckfield - Head of Data & AI","Applicable","AI-006 — PondGPT","Included because Secure Output Verification & Code Scanning directly treats AI-006-R03 within AI-006 — PondGPT.","Outside AI-006 — PondGPT, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-006-R03","Partially implemented","None linked","Design/status assertion — evidence ID absent","No","No additional credit","Design/status assertion — evidence absent","Provide implementation and operating evidence with a stable evidence ID.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-028","QB-01","Curated RAG Source Allowlist","Preventive","Clara Duckley - Director Customer Operations","Applicable","AI-002 — QuackBot","Included because Curated RAG Source Allowlist directly treats AI-002-R01; AI-002-R03 within AI-002 — QuackBot.","Outside AI-002 — QuackBot, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-002-R01; AI-002-R03","Partially implemented","None linked","Design/status assertion — evidence ID absent","No","No additional credit","Design/status assertion — evidence absent","Provide implementation and operating evidence with a stable evidence ID.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-029","QB-02","Grounding, Citation & Abstention Rules","Preventive","Dr. Ada Duckfield - Head of Data & AI","Applicable","AI-002 — QuackBot","Included because Grounding, Citation & Abstention Rules directly treats AI-002-R01; AI-002-R03 within AI-002 — QuackBot.","Outside AI-002 — QuackBot, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-002-R01; AI-002-R03","Planned","None linked","Planned","No","No current risk-reduction credit","Design only or not implemented — evidence absent","Implement the control, assign stable evidence IDs, operate it over a defined period and test it.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-030","QB-03","Human Escalation SLA","Corrective","Clara Duckley - Director Customer Operations","Applicable","AI-002 — QuackBot","Included because Human Escalation SLA directly treats AI-002-R01; AI-002-R03 within AI-002 — QuackBot.","Outside AI-002 — QuackBot, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-002-R01; AI-002-R03","Partially implemented","None linked","Design/status assertion — evidence ID absent","No","No additional credit","Design/status assertion — evidence absent","Provide implementation and operating evidence with a stable evidence ID.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-031","QB-04","Prompt Injection & RAG Adversarial Testing","Detective","Cassandra Duckley - Chief Information Security Officer","Applicable","AI-002 — QuackBot","Included because Prompt Injection & RAG Adversarial Testing directly treats AI-002-R02 within AI-002 — QuackBot.","Outside AI-002 — QuackBot, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-002-R02","Planned","None linked","Planned","No","No current risk-reduction credit","Design only or not implemented — evidence absent","Implement the control, assign stable evidence IDs, operate it over a defined period and test it.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-032","QB-05","Least-Privilege Retrieval & Tool Boundaries","Preventive","Cassandra Duckley - Chief Information Security Officer","Applicable","AI-002 — QuackBot","Included because Least-Privilege Retrieval & Tool Boundaries directly treats AI-002-R02 within AI-002 — QuackBot.","Outside AI-002 — QuackBot, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-002-R02","Partially implemented","None linked","Design/status assertion — evidence ID absent","No","No additional credit","Design/status assertion — evidence absent","Provide implementation and operating evidence with a stable evidence ID.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
